id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,pass_recipient,pass_length,pass_angle,pass_height,pass_end_location,pass_body_part,pass_type,possession_team_id,team_id,player_id,pass_recipient_id,pass_outcome,under_pressure,pass_switch,counterpress,off_camera,pass_inswinging,pass_technique,pass_assisted_shot_id,pass_shot_assist,pass_cross,pass_through_ball,pass_aerial_won,pass_goal_assist,pass_outswinging,pass_miscommunication,pass_no_touch,pass_cut_back
1a62e97f-a683-4377-ac67-ba361621f9dd,256,1,00:05:28.721,5,28,Pass,14,Canada,Regular Play,Argentina,Nicolás Alejandro Tagliafico,Left Back,"[43.7, 8.3]",2.773518,"['94acb8b7-f73f-49af-880a-0f12b01fedca', 'e10f24b6-1106-4368-b01c-b503a5be6c20']",3942785,Alexis Mac Allister,31.986403,0.7079481,High Pass,"[68.0, 29.1]",Head,Recovery,1833,779,5507,27886.0,Incomplete,,,,,,,,,,,,,,,,
9492297a-0683-4e57-9ed4-808cbdb37ab7,260,1,00:05:32.321,5,32,Pass,14,Canada,Regular Play,Canada,Alistair Johnston,Right Back,"[50.1, 50.5]",0.658293,['12485562-f4ba-4e55-98d9-c4ae89c389f2'],3942785,Stephen Antunes Eustáquio,8.20975,-0.9760371,Ground Pass,"[54.7, 43.7]",Left Foot,,1833,1833,44703,11187.0,,,,,,,,,,,,,,,,,
ebac4836-0f27-4e8e-9220-1162167ef7c3,263,1,00:05:38.403,5,38,Pass,14,Canada,Regular Play,Canada,Stephen Antunes Eustáquio,Left Defensive Midfield,"[62.3, 43.7]",1.424392,['305b0e0c-1a42-4512-a767-564c56b3eee6'],3942785,Alistair Johnston,14.649232,1.8190862,Ground Pass,"[58.7, 57.9]",Right Foot,,1833,1833,11187,44703.0,,,,,,,,,,,,,,,,,
a8dbb93b-77c7-423a-98b3-30a9064086be,266,1,00:05:40.868,5,40,Pass,14,Canada,Regular Play,Canada,Alistair Johnston,Right Back,"[63.2, 60.1]",1.117494,['9392ba44-bfb8-4147-a097-e95b48d20e29'],3942785,Richie Laryea,16.046183,1.1740876,Ground Pass,"[69.4, 74.9]",Right Foot,,1833,1833,44703,16120.0,,,,,,,,,,,,,,,,,
c45d90b9-c88b-4ad7-9463-0c2eea09ee09,272,1,00:06:11.226,6,11,Pass,15,Canada,From Free Kick,Canada,Alistair Johnston,Right Back,"[64.3, 74.0]",2.539152,"['49d36336-7e6c-42a5-915b-9243b1f585f4', 'ff85aede-7f1b-4e62-b25c-249e4cecbae8']",3942785,Jacob Shaffelburg,53.90371,-0.5483735,High Pass,"[110.3, 45.9]",Right Foot,Free Kick,1833,1833,44703,26152.0,Incomplete,,,,,,,,,,,,,,,,
e8b88096-e0e6-4786-a204-2475c3a7e400,276,1,00:06:17.360,6,17,Pass,16,Argentina,From Keeper,Argentina,Damián Emiliano Martínez,Goalkeeper,"[13.7, 31.3]",2.610597,['d04aad53-2de0-4e55-9652-ec06e762d851'],3942785,Gonzalo Ariel Montiel,49.67293,1.1431692,High Pass,"[34.3, 76.5]",Keeper Arm,,779,779,6909,28263.0,,,True,,,,,,,,,,,,,,
e9cea8a3-df4d-4f04-b1d1-b30a7479f197,279,1,00:06:23.171,6,23,Pass,16,Argentina,From Keeper,Argentina,Gonzalo Ariel Montiel,Right Back,"[44.5, 76.3]",1.398644,['becb6158-443a-457c-a0b5-249feae33a89'],3942785,Rodrigo Javier De Paul,9.932271,-2.1336646,Ground Pass,"[39.2, 67.9]",Right Foot,,779,779,28263,7797.0,,,,,,,,,,,,,,,,,
e5dd2406-9e76-434f-a38b-c52c0687b688,282,1,00:06:26.569,6,26,Pass,16,Argentina,From Keeper,Argentina,Rodrigo Javier De Paul,Right Defensive Midfield,"[39.2, 64.6]",1.599998,['49baaf27-d387-4478-a7e7-03883c1ce4cf'],3942785,Cristian Gabriel Romero,16.194136,-2.3430948,Ground Pass,"[27.9, 53.0]",Right Foot,,779,779,7797,20572.0,,,,,,,,,,,,,,,,,
4d980837-f1d7-4d89-aa6f-2c050bdd825d,285,1,00:06:29.369,6,29,Pass,16,Argentina,From Keeper,Argentina,Cristian Gabriel Romero,Right Center Back,"[27.5, 53.3]",1.135895,['8c343cf6-4e79-4d4b-a701-fa85c1260c72'],3942785,Rodrigo Javier De Paul,15.82182,0.6283316,Ground Pass,"[40.3, 62.6]",Right Foot,,779,779,20572,7797.0,,,,,,,,,,,,,,,,,
88ed0f30-d95e-4589-bdc8-02d9bd448ebf,288,1,00:06:31.305,6,31,Pass,16,Argentina,From Keeper,Argentina,Rodrigo Javier De Paul,Right Defensive Midfield,"[43.7, 61.0]",0.995966,['a3415cc5-833c-4cd1-91f0-e1c6d44b17ff'],3942785,Lionel Andrés Messi Cuccittini,12.984991,-0.61577326,Ground Pass,"[54.3, 53.5]",Right Foot,,779,779,7797,5503.0,,,,,,,,,,,,,,,,,
7310fab6-537a-4689-b034-262272781dad,291,1,00:06:32.999,6,32,Pass,16,Argentina,From Keeper,Argentina,Lionel Andrés Messi Cuccittini,Right Center Forward,"[51.6, 53.5]",0.804301,['444b7529-9b7b-4e07-8965-12edc445c73f'],3942785,Enzo Fernandez,12.61943,-2.8023,Ground Pass,"[39.7, 49.3]",Left Foot,,779,779,5503,38718.0,,,,,,,,,,,,,,,,,
e9740220-e3b0-49cd-9771-f262480804d6,294,1,00:06:34.645,6,34,Pass,16,Argentina,From Keeper,Argentina,Enzo Fernandez,Left Defensive Midfield,"[39.4, 48.8]",2.572251,['c3fac076-2fd9-4825-a8bb-6ab07eef97b3'],3942785,Lisandro Martínez,28.846144,-1.1149005,Ground Pass,"[52.1, 22.9]",Right Foot,,779,779,38718,27768.0,,,,,,,,,,,,,,,,,
aa9be918-d080-43c8-b7f8-977938987e67,296,1,00:06:37.218,6,37,Pass,16,Argentina,From Keeper,Argentina,Lisandro Martínez,Left Center Back,"[52.1, 22.9]",1.644978,['8880be31-fe69-487d-84c9-5cc28f022648'],3942785,Nicolás Alejandro Tagliafico,24.142286,-0.73558605,Ground Pass,"[70.0, 6.7]",Left Foot,,779,779,27768,5507.0,,,,,,,,,,,,,,,,,
