Jugador,Posc,Equipo,Edad,Nacimiento,90 s,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive,PassDead,HASTA,Dis,FR,Def,Partidos
Nicolás De La Cruz,CC,uy Uruguay,26,1997,3.9,25,6.39,16,7,1,0,1,0,3,0.77,1,2,0,0,0,0,Partidos
,,,,,,,,,,,,,,,,,,,,,,
Rodrigo De Paul,CC,ar Argentina,29,1994,5.3,22,4.40,18,1,0,1,2,0,1,0.20,1,0,0,0,0,0,Partidos
Ángel Di María,"CC,DL",ar Argentina,35,1988,3.9,19,4.83,16,2,0,0,1,0,1,0.25,1,0,0,0,0,0,Partidos
Ismael Díaz,CC,pa Panama,26,1997,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Luis Díaz,DL,co Colombia,27,1997,5.6,15,2.66,10,0,3,0,2,0,0,0.00,0,0,0,0,0,0,Partidos
Paulo Díaz,DF,cl Chile,29,1994,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Kaheim Dixon,"CC,DL",jm Jamaica,19,2004,0.7,2,2.81,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Alexander Domínguez,PO,ec Ecuador,36,1987,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Jhon Durán,DL,co Colombia,20,2003,0.2,1,6.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Rodrigo Echeverría,CC,cl Chile,28,1995,2.0,2,1.02,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
Éderson,CC,br Brazil,24,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Jorge Eduardo Sánchez,DF,mx Mexico,26,1997,3.0,7,2.33,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
Julio Enciso,"DL,CC",py Paraguay,20,2004,2.8,15,5.38,4,3,3,3,2,0,0,0.00,0,0,0,0,0,0,Partidos
Endrick,DL,br Brazil,17,2006,1.4,2,1.42,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
Matías Espinoza,DF,py Paraguay,26,1997,1.8,1,0.56,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Partidos
Stephen Eustáquio,CC,ca Canada,27,1996,4.8,12,2.51,9,2,0,1,0,0,0,0.00,0,0,0,0,0,0,Partidos
Evanilson,CC,br Brazil,24,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
José Fajardo,"DL,CC",pa Panama,30,1993,3.3,4,1.22,3,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Partidos
Edgardo Fariña,DF,pa Panama,22,2001,4.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Partidos
Enzo Fernández,CC,ar Argentina,23,2001,3.9,12,3.08,10,0,1,1,0,0,2,0.51,1,0,0,1,0,0,Partidos
