Jugador,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Francisco Calvo,DF,cr Costa Rica,31,1992,3,3,270,3.0,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,0,4,0,0.33,0.00,0.33,0.33,0.33,0.13,0.00,0.13,0.13,0.13,Partidos
Joel Campbell,"CC,DL",cr Costa Rica,31,1992,3,1,133,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Agustín Canobbio,CC,uy Uruguay,25,1998,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Valentin Carboni,DL,ar Argentina,18,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Johnny Cardoso,CC,us United States,22,2001,2,0,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Partidos
Roberto Carlos Fernández,"DL,CC",bo Bolivia,24,1999,2,2,119,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Partidos
Jorge Carrascal,"CC,DL",co Colombia,25,1998,3,0,51,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,5,1,0.00,0.00,0.00,0.00,0.00,0.22,0.27,0.49,0.22,0.49,Partidos
Adalberto Carrasquilla,CC,pa Panama,25,1998,2,2,175,1.9,0,0,0,0,0,0,0,1,0.0,0.0,0.2,0.2,5,17,5,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11,Partidos
André Carrillo,CC,pe Peru,32,1991,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Partidos
Wilder Cartagena,CC,pe Peru,29,1994,3,3,225,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,8,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
