Jugador,Posc,Equipo,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
Darwin Núñez,DL,uy Uruguay,24,1999,6,6,472,5.2,2,0,2,2,0,0,1,0,2.6,2.6,0.5,3.1,7,9,35,0.38,0.00,0.38,0.38,0.38,0.50,0.09,0.59,0.50,0.59,Partidos
Marcelino Núñez,CC,cl Chile,23,2000,3,2,144,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,2,4,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Partidos
Lucas Olaza,DF,uy Uruguay,29,1994,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.52,0.00,0.52,Partidos
Cristian Olivera,"DL,DF",uy Uruguay,21,2002,4,0,144,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,6,1,17,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.25,Partidos
Mathías Olivera,DF,uy Uruguay,26,1997,5,5,374,4.2,1,0,1,1,0,0,0,0,0.9,0.9,0.0,0.9,6,29,2,0.24,0.00,0.24,0.24,0.24,0.21,0.00,0.21,0.21,0.21,Partidos
Tani Oluwaseyi,DL,ca Canada,23,2000,5,1,136,1.5,0,0,0,0,0,0,2,0,2.3,2.3,0.3,2.6,2,2,16,0.00,0.00,0.00,0.00,0.00,1.49,0.20,1.69,1.49,1.69,Partidos
Darío Osorio,DL,cl Chile,20,2004,3,2,164,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,9,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Partidos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Osorio,CC,ca Canada,31,1992,6,3,317,3.5,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,8,17,10,0.00,0.00,0.00,0.00,0.00,0.12,0.03,0.14,0.12,0.14,Partidos
Yordan Osorio,DF,ve Venezuela,29,1994,4,4,359,4.0,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,1,12,1,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Partidos
Nicolás Otamendi,DF,ar Argentina,35,1988,5,1,148,1.6,0,0,0,0,0,0,0,0,0.6,0.6,0.0,0.6,0,3,0,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.35,0.35,0.35,Partidos
Juan Pablo Vargas,DF,cr Costa Rica,28,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Willian Pacho,DF,ec Ecuador,22,2001,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Partidos
Kendry Páez,"CC,DL",ec Ecuador,16,2007,4,4,306,3.4,1,0,1,0,1,1,1,0,1.8,1.0,0.2,1.2,2,11,5,0.29,0.00,0.29,0.00,0.00,0.52,0.07,0.59,0.29,0.36,Partidos
Exequiel Palacios,CC,ar Argentina,25,1998,2,1,103,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,3,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Partidos
Kasey Palmer,CC,jm Jamaica,27,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,7,5,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.07,0.05,0.07,Partidos
Lucas Paquetá,CC,br Brazil,26,1997,4,4,293,3.3,1,1,2,0,1,2,2,0,2.3,0.7,0.8,1.6,2,16,9,0.31,0.31,0.61,0.00,0.31,0.70,0.26,0.96,0.22,0.48,Partidos
Leandro Paredes,CC,ar Argentina,29,1994,3,2,176,2.0,0,0,0,0,0,1,1,0,0.9,0.1,0.0,0.1,0,4,1,0.00,0.00,0.00,0.00,0.00,0.51,0.00,0.51,0.04,0.04,Partidos
Facundo Pellistri,DL,uy Uruguay,22,2001,6,6,447,5.0,1,1,2,1,0,0,0,0,1.2,1.2,0.4,1.6,9,4,27,0.20,0.20,0.40,0.20,0.40,0.24,0.09,0.32,0.24,0.32,Partidos
Sergio Peña,CC,pe Peru,28,1995,3,3,258,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,1,13,1,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.00,0.07,Partidos
Ricardo Pepi,DL,us United States,21,2003,3,0,95,1.1,0,0,0,0,0,0,0,0,2.3,2.3,0.2,2.5,0,2,5,0.00,0.00,0.00,0.00,0.00,2.15,0.17,2.32,2.15,2.32,Partidos
Andreas Pereira,CC,br Brazil,28,1996,3,0,67,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Partidos
César Pérez,CC,cl Chile,21,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Partidos
Germán Pezzella,DF,ar Argentina,32,1991,1,1,82,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Partidos
Orbelín Pineda,CC,mx Mexico,27,1996,3,2,146,1.6,0,0,0,0,0,1,0,0,0.8,0.0,0.3,0.3,4,13,12,0.00,0.00,0.00,0.00,0.00,0.51,0.18,0.69,0.03,0.21,Partidos
Ethan Pinnock,DF,jm Jamaica,30,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,4,2,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Partidos
Andy Polo,DF,pe Peru,29,1994,2,2,173,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,6,8,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
Ángelo Preciado,DF,ec Ecuador,25,1998,4,4,359,4.0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,5,6,13,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.13,0.07,0.13,Partidos
Erick Pulgar,CC,cl Chile,30,1994,3,2,210,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
Christian Pulisic,"DL,CC",us United States,25,1998,3,3,270,3.0,1,1,2,1,0,0,0,0,0.5,0.5,0.6,1.1,8,12,11,0.33,0.33,0.67,0.33,0.67,0.16,0.22,0.38,0.16,0.38,Partidos
Julián Quiñones,"DL,CC",mx Mexico,26,1997,3,3,252,2.8,0,0,0,0,0,0,0,0,0.4,0.4,0.4,0.8,4,11,33,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.28,0.14,0.28,Partidos
Juan Quintero,DL,co Colombia,31,1993,3,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,7,2,0.00,0.00,0.00,0.00,0.00,0.06,0.18,0.24,0.06,0.24,Partidos
Haxzel Quirós,DF,cr Costa Rica,25,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piero Quispe,CC,pe Peru,22,2001,2,2,131,1.5,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,4,5,0.00,0.00,0.00,0.00,0.00,0.19,0.02,0.21,0.19,0.21,Partidos
Rodrigo Ramallo,DL,bo Bolivia,33,1990,1,0,44,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Partidos
Eric Ramírez,DL,ve Venezuela,25,1998,2,0,17,0.2,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.6,1,0,3,5.29,0.00,5.29,5.29,5.29,3.25,0.00,3.25,3.25,3.25,Partidos
Iván Ramírez,DF,py Paraguay,29,1994,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Partidos
Raphinha,DL,br Brazil,27,1996,4,3,259,2.9,1,0,1,1,0,0,0,0,1.0,1.0,0.2,1.2,8,5,26,0.35,0.00,0.35,0.35,0.35,0.35,0.07,0.42,0.35,0.42,Partidos
Tim Ream,DF,us United States,36,1987,3,3,263,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Bobby Reid,"CC,DL",jm Jamaica,30,1993,2,2,169,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,4,3,0.00,0.00,0.00,0.00,0.00,0.05,0.07,0.12,0.05,0.12,Partidos
Israel Reyes,DF,mx Mexico,23,2000,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Bryan Reyna,"CC,DL",pe Peru,25,1998,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Gio Reyna,"CC,DL",us United States,21,2002,3,3,200,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,12,12,0.00,0.00,0.00,0.00,0.00,0.05,0.06,0.11,0.05,0.11,Partidos
Chris Richards,DF,us United States,23,2000,3,3,270,3.0,0,0,0,0,0,0,2,0,0.3,0.3,0.0,0.3,0,2,0,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Partidos
Tomás Rincón,CC,ve Venezuela,36,1988,3,0,33,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17,Partidos
Richard Ríos,CC,co Colombia,23,2000,6,6,448,5.0,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,11,10,15,0.20,0.00,0.20,0.20,0.20,0.06,0.04,0.09,0.06,0.09,Partidos
José Rivera,"DL,CC",pe Peru,26,1997,1,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,Partidos
Antonee Robinson,DF,us United States,26,1997,3,3,270,3.0,0,1,1,0,0,0,1,0,0.1,0.1,1.4,1.4,5,6,14,0.00,0.33,0.33,0.00,0.33,0.02,0.45,0.47,0.02,0.47,Partidos
Yomar Rocha,"CC,DF",bo Bolivia,20,2003,2,2,135,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Partidos
Sergio Rochet,PO,uy Uruguay,30,1993,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Brian Rodríguez,DL,uy Uruguay,23,2000,1,0,30,0.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,1,1,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.58,0.58,0.58,Partidos
Charly Rodríguez,CC,mx Mexico,27,1997,2,1,83,0.9,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,3,3,0.00,0.00,0.00,0.00,0.00,0.39,0.05,0.44,0.39,0.44,Partidos
Guido Rodríguez,CC,ar Argentina,29,1994,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
James Rodríguez,"DL,CC",co Colombia,32,1991,6,6,463,5.1,1,6,7,0,1,1,1,0,1.2,0.4,2.2,2.6,5,35,20,0.19,1.17,1.36,0.00,1.17,0.23,0.43,0.67,0.08,0.51,Partidos
Kevin Rodríguez,DL,ec Ecuador,23,2000,4,2,233,2.6,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.3,2,3,18,0.39,0.00,0.39,0.39,0.39,0.07,0.06,0.13,0.07,0.13,Partidos
Rodrygo,DL,br Brazil,23,2001,4,4,326,3.6,0,0,0,0,0,0,0,0,0.7,0.7,0.6,1.3,9,12,25,0.00,0.00,0.00,0.00,0.00,0.19,0.17,0.36,0.19,0.36,Partidos
Andy Rojas,DL,cr Costa Rica,18,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Matías Rojas,DL,py Paraguay,28,1995,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,1.22,0.00,1.22,1.22,1.22,Partidos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ángel Romero,CC,py Paraguay,31,1992,2,0,56,0.6,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.7,1,3,5,0.00,0.00,0.00,0.00,0.00,0.96,0.17,1.13,0.96,1.13,Partidos
Cristian Romero,DF,ar Argentina,25,1998,5,5,480,5.3,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,3,9,0,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Partidos
Luis Romo,CC,mx Mexico,28,1995,3,2,235,2.6,0,1,1,0,0,0,0,0,0.3,0.3,0.2,0.5,9,30,8,0.00,0.38,0.38,0.00,0.38,0.12,0.08,0.20,0.12,0.20,Partidos
Rafael Romo,PO,ve Venezuela,33,1990,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Salomón Rondón,DL,ve Venezuela,34,1989,4,4,334,3.7,3,1,4,2,1,1,0,0,2.4,1.7,0.8,2.4,2,6,21,0.81,0.27,1.08,0.54,0.81,0.66,0.21,0.87,0.45,0.65,Partidos
Jacen Russell-Rowe,DL,ca Canada,21,2002,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
José Sagredo,DF,bo Bolivia,29,1994,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
Alexis Sánchez,CC,cl Chile,35,1988,3,3,245,2.7,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,3,11,10,0.00,0.00,0.00,0.00,0.00,0.24,0.07,0.31,0.24,0.31,Partidos
Davinson Sánchez,DF,co Colombia,27,1996,6,6,570,6.3,1,0,1,1,0,0,0,0,1.4,1.4,0.1,1.5,3,16,3,0.16,0.00,0.16,0.16,0.16,0.23,0.02,0.25,0.23,0.25,Partidos
Erick Sánchez,CC,mx Mexico,24,1999,2,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.08,0.08,Partidos
Anderson Santamaría,"DF,DL",pe Peru,32,1992,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Josh Sargent,"DL,CC",us United States,23,2000,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.19,0.16,0.34,0.19,0.34,Partidos
Jeremy Sarmiento,"DL,CC",ec Ecuador,21,2002,4,4,301,3.3,1,0,1,1,0,0,1,0,0.6,0.6,0.0,0.6,7,5,7,0.30,0.00,0.30,0.30,0.30,0.19,0.00,0.19,0.19,0.19,Partidos
Fernando Saucedo,CC,bo Bolivia,33,1990,2,1,100,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,2,3,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Partidos
Jefferson Savarino,CC,ve Venezuela,27,1996,3,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14,Partidos
Sávio,DL,br Brazil,19,2004,4,1,119,1.3,1,0,1,1,0,0,0,0,0.8,0.8,0.2,0.9,14,3,15,0.76,0.00,0.76,0.76,0.76,0.59,0.12,0.70,0.59,0.70,Partidos
Joe Scally,DF,us United States,21,2002,3,3,258,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,9,3,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.00,0.03,Partidos
Telasco Segovia,CC,ve Venezuela,20,2003,1,1,73,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,12,3,0.00,0.00,0.00,0.00,0.00,0.02,0.16,0.18,0.02,0.18,Partidos
Patrick Sequeira,PO,cr Costa Rica,24,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jacob Shaffelburg,"DL,CC",ca Canada,24,1999,6,4,346,3.8,1,1,2,1,0,0,1,0,0.3,0.3,1.6,1.9,15,4,38,0.26,0.26,0.52,0.26,0.52,0.08,0.42,0.50,0.08,0.50,Partidos
Luis Sinisterra,DL,co Colombia,24,1999,3,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,0,1,6,0.00,0.00,0.00,0.00,0.00,0.00,1.02,1.02,0.00,1.02,Partidos
Oliver Sonne,DF,pe Peru,23,2000,2,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Ramón Sosa,DL,py Paraguay,24,1999,3,1,135,1.5,1,1,2,1,0,0,1,0,0.1,0.1,0.4,0.5,6,7,25,0.67,0.67,1.33,0.67,1.33,0.09,0.27,0.36,0.09,0.36,Partidos
Yeferson Soteldo,"DL,CC",ve Venezuela,26,1997,4,3,278,3.1,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.7,14,6,20,0.00,0.00,0.00,0.00,0.00,0.04,0.18,0.23,0.04,0.23,Partidos
Dayne St. Clair,PO,ca Canada,26,1997,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luis Suárez,DL,uy Uruguay,37,1987,4,0,79,0.9,1,0,1,1,0,0,0,0,0.9,0.9,0.0,0.9,2,4,7,1.14,0.00,1.14,1.14,1.14,1.06,0.00,1.06,1.06,1.06,Partidos
Marcelo Suarez,"DF,CC",bo Bolivia,22,2001,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Gabriel Suazo,DF,cl Chile,26,1997,3,3,206,2.3,0,0,0,0,0,0,3,1,0.0,0.0,0.2,0.2,1,13,0,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.00,0.11,Partidos
Nicolás Tagliafico,DF,ar Argentina,31,1992,6,5,447,5.0,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,13,14,7,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Partidos
Gerald Taylor,DF,cr Costa Rica,22,2001,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Miguel Terceros,"CC,DL",bo Bolivia,19,2004,3,2,192,2.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,3,5,1,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15,Partidos
Adalid Terrazas,"CC,DL",bo Bolivia,23,2000,2,0,37,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Malik Tillman,CC,us United States,21,2002,1,0,2,0.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,4.01,0.00,4.01,4.01,4.01,Partidos
Félix Torres Caicedo,DF,ec Ecuador,27,1997,4,4,360,4.0,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,0,8,1,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Partidos
Matt Turner,PO,us United States,29,1994,3,3,225,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Manfred Ugalde,DL,cr Costa Rica,21,2002,2,2,108,1.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Manuel Ugarte Ribeiro,CC,uy Uruguay,22,2001,6,6,493,5.5,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.3,2,21,4,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.06,0.05,0.06,Partidos
Mateus Uribe,CC,co Colombia,32,1991,6,1,219,2.4,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,1,3,0,0.00,0.00,0.00,0.00,0.00,0.28,0.01,0.29,0.28,0.29,Partidos
Ramiro Vaca,"DL,CC",bo Bolivia,24,1999,3,2,169,1.9,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,2,3,7,0.00,0.53,0.53,0.00,0.53,0.01,0.19,0.20,0.01,0.20,Partidos
Diego Valdés,DL,cl Chile,30,1994,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Enner Valencia,DL,ec Ecuador,34,1989,3,3,190,2.1,0,0,0,0,0,1,1,1,0.9,0.1,0.3,0.4,4,3,7,0.00,0.00,0.00,0.00,0.00,0.44,0.12,0.56,0.07,0.19,Partidos
Omar Valencia,DF,pa Panama,19,2004,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Federico Valverde,CC,uy Uruguay,25,1998,6,6,529,5.9,1,0,1,1,0,0,0,0,0.6,0.6,1.1,1.7,21,54,18,0.17,0.00,0.17,0.17,0.17,0.10,0.19,0.29,0.10,0.29,Partidos
Guillermo Varela,DF,uy Uruguay,30,1993,2,0,46,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Camilo Vargas,PO,co Colombia,34,1989,6,6,570,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Eduardo Vargas,DL,cl Chile,34,1989,3,3,195,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,9,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Partidos
Johan Vásquez,DF,mx Mexico,25,1998,3,3,270,3.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,9,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Partidos
Alexis Vega,"CC,DF",mx Mexico,26,1997,2,0,31,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Gustavo Velásquez,DF,py Paraguay,32,1991,3,3,253,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,5,10,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Partidos
Gabriel Villamíl,CC,bo Bolivia,22,2001,3,3,242,2.7,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,2,3,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Partidos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mathías Villasanti,"CC,DL",py Paraguay,27,1997,3,3,242,2.7,0,1,1,0,0,0,0,0,0.6,0.6,0.1,0.7,4,15,3,0.00,0.37,0.37,0.00,0.37,0.22,0.05,0.27,0.22,0.27,Partidos
Matías Viña,DF,uy Uruguay,26,1997,5,5,353,3.9,1,1,2,1,0,0,1,0,0.1,0.1,0.3,0.3,15,20,20,0.25,0.25,0.51,0.25,0.51,0.02,0.06,0.08,0.02,0.08,Partidos
Guillermo Vizcarra,PO,bo Bolivia,30,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Jahmali Waite,PO,jm Jamaica,25,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
Timothy Weah,DL,us United States,23,2000,2,2,102,1.1,0,1,1,0,0,0,0,1,0.2,0.2,0.2,0.4,4,4,12,0.00,0.88,0.88,0.00,0.88,0.18,0.20,0.38,0.18,0.38,Partidos
Jovani Welch,CC,pa Panama,24,1999,3,2,205,2.3,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,11,1,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Partidos
Wendell,DF,br Brazil,30,1993,2,2,175,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,2,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Partidos
Haji Wright,CC,us United States,25,1998,1,0,12,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.58,0.58,0.58,Partidos
César Yanis,CC,pa Panama,28,1996,1,0,1,0.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,1,0,90.00,0.00,90.00,90.00,90.00,8.99,0.00,8.99,8.99,8.99,Partidos
