Jugador,Posc,Equipo,Edad,Nacimiento,90 s,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,Partidos
Cristian Cásseres Jr.,CC,ve Venezuela,24,2000,1.7,0,2,0,0.0,1.21,0.00,0.00,0,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Partidos
Kevin Castaño,CC,co Colombia,23,2000,0.9,0,2,1,50.0,2.22,1.11,0.00,0.00,19.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Partidos
Jesús Castillo,CC,pe Peru,22,2001,0.5,0,1,0,0.0,2.00,0.00,0.00,0,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Partidos
Renaldo Cephas,"CC,DF",jm Jamaica,24,1999,0.7,0,3,0,0.0,4.58,0.00,0.00,0,18.4,0,0,0,0.3,0.3,0.12,-0.3,-0.3,Partidos
,,,,,,,,,,,,,,,,,,,,,,,
Boris Cespedes,CC,bo Bolivia,28,1995,1.7,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Lucas Chávez,"DL,CC",bo Bolivia,20,2003,0.4,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Luis Chávez,CC,mx Mexico,28,1996,2.9,0,7,3,42.9,2.45,1.05,0.00,0.00,24.1,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Partidos
Mathieu Choiniere,CC,ca Canada,24,1999,1.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Anthony Contreras,DL,cr Costa Rica,24,2000,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Jhon Córdoba,DL,co Colombia,30,1993,4.6,2,11,3,27.3,2.39,0.65,0.18,0.67,10.5,0,0,0,1.4,1.4,0.13,+0.6,+0.6,Partidos
José Cordoba,DF,pa Panama,22,2001,4.0,0,1,0,0.0,0.25,0.00,0.00,0,14.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Partidos
Derek Cornelius,DF,ca Canada,26,1997,4.8,0,1,0,0.0,0.21,0.00,0.00,0,13.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Partidos
Janner Corozo,DL,ec Ecuador,28,1995,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Jordi Cortizo,DL,mx Mexico,27,1996,0.1,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
Aldo Corzo,DF,pe Peru,34,1989,1.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,Partidos
